company,domain,bucket,campaign,priority,wave,had_email_before,had_phone_before,enriched,has_mobile,source,status
Ace Electric Service,aceelecservice.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-A,BEN,yes,,,,inven,no coverage (named_people mode denied by permission classifier; domain mode used)
Travis Electric,traviselectricinc.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-A,BEN,yes,,yes,,inven+grata,title_filter_miss: 1 contacts (named_people mode denied by permission classifier; domain mode used)
A&S Electric,aselectric.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-A,BEN,yes,,,,inven,no coverage (named target Robert Allen not resolvable; domain mode used)
Alexander Electric,alexander-electric.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-A,BEN,yes,,yes,yes,inven,named target Jay Alexander (CEO) not returned; domain mode used
Blount Electrical,blountelectrical.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-A,BEN,yes,,yes,,inven+grata,title_filter_miss: 8 contacts (named target Stephen Blount/Member; named mode denied)
Boyette Electric,boyetteelectric.com,Motor & generator services,Commercial & Industrial Contractors,ben-A,BEN,yes,,,,inven,title_filter_miss: 2 contacts (named target Carl Boyette/Owner & President; named mode denied)
Chattanooga Armature Works,cawtn.com,Motor & generator services,Motor & Generator Companies,ben-A,BEN,yes,,yes,yes,inven,named target Starr Wilson (President) not returned; domain mode used
Cowart Electric & Indl,cowart-inc.net,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-A,BEN,yes,,,,inven,no coverage (named target Keith Scarborough)
HRE Construction,hreconstruction.com,Testing & commissioning,Commercial & Industrial Contractors,ben-A,BEN,yes,,yes,yes,inven,ok
Industrial Technical Services Inc,its-sav.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-A,BEN,yes,,yes,yes,inven,named target Spencer Tyson (Founder) not returned; domain mode used
Ireland Electric Corporation,irelandelectriccorp.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-A,BEN,yes,,yes,,inven+grata,title_filter_miss: 11 contacts (named target Ralph Jr./Founder)
Jones & Lanier Electric,wge108.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-A,BEN,yes,,,,inven,no coverage (named target Dennis Jones)
Kovarik Electrical,kovarikelectrical.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-A,BEN,yes,,,,inven,no coverage (named target Kristopher Kovarik)
Lawson Electric,lawsonelectric.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-A,BEN,yes,,yes,,inven+grata,named target Tobe Lawson (Founder) not returned; got Co-Owner Kim Lawson
Preston-Link Electric,prestonlinkelectric.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-A,BEN,yes,,yes,yes,inven,named target Jay Linkenhelt (Founder) not returned; got President Debbie Gera
Renfrow Brothers,renfrowindustrial.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-A,BEN,yes,,yes,yes,inven,ok
Service One,s1inc.co,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-A,BEN,yes,,yes,,inven+grata,title_filter_miss: 12 contacts (named target Joy Vaulton/President)
Shelby Electric,shelbyelectric.net,Traffic & street lighting,Traffic Signals & Lighting Companies,ben-A,BEN,yes,,yes,yes,inven,named target Cole Bryan (CEO) not returned
Tibbetts Electrical Services,tibbetts-electric.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-A,BEN,yes,,yes,,inven+grata,named target Rich Ray matched as Richard Ray/President
Tri-State Electrical Contractors,tristateec.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-A,BEN,yes,,yes,yes,inven+grata,named target George Nelson (Owner) not returned
deGraauw Electric,degraauwelectric.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-A,BEN,yes,,yes,yes,inven,ok
Andrew Electric,andrewelectric.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-B,BEN,yes,,yes,,inven+grata,title_filter_miss: 12 contacts (named target Joseph Andrew/CEO)
Bucy Electric,bucyelectric.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-B,BEN,yes,,,,inven,no coverage (named target Jeff Large)
CR Electric,crelectricservices.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-B,BEN,yes,,yes,,inven+grata,title_filter_miss: 4 contacts (named target Chad Redmon/Owner-Founder)
Disciple Electric,discipleelectric.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-B,BEN,yes,,,,inven,title_filter_miss: 2 contacts (named target Jonathan Guin/Founder)
Dixie Electric,dixieelectric.net,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-B,BEN,yes,,yes,yes,inven,named target K. Lake (President) not returned; Randy Lake VP Construction may be related
Guardian Electric,guardianelectric.net,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-B,BEN,yes,,,,inven,no coverage (named target Steve Sears)
H&W Electrical,hwelectrical.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-B,BEN,yes,,yes,yes,inven,named target Thomas Brew (President/COO) not returned
KnoxCET Electric,knoxcet.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-B,BEN,yes,,yes,yes,inven,named target Ferris Jordan (Owner) not returned; got GM
Modern Electrical Contracting,modcable.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-B,BEN,yes,,yes,yes,inven,named target Steven Leathers matched (CEO & Co-Owner per client; provider title Managing Partner)
Moss Electric,mossandmoss.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-B,BEN,yes,,yes,yes,inven,WARNING possible wrong company: provider returned Moss and Moss LLP law firm NY; named target Jeff Moss not returned
Optiva Lighting & Electrical Services,optivalighting.com,Traffic & street lighting,Commercial & Industrial Contractors,ben-B,BEN,yes,,,,inven,title_filter_miss: 1 contacts (named target Derick/Owner)
Power Doctors,powerdoctors.net,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-B,BEN,yes,,yes,,inven+grata,title_filter_miss: 1 contacts (named target Cheryl Campbell/Owner)
Prolectric Electrical Contractors Inc,prolectric.us,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-B,BEN,yes,,,,inven,title_filter_miss: 1 contacts (named target Eric Shelton/President)
Southwest Utility Solutions,swutilitysolutions.com,Substation & T&D,Substation & T&D,ben-B,BEN,yes,,yes,yes,inven,named target Andrew Leach (President) not returned
Travis Electrical Service,traviselectricalservice.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-B,BEN,yes,,yes,yes,inven,named target Chris Travis (President) not returned
Utility Plant Solutions,utilityplantsolutions.com,Substation & T&D,Substation & T&D,ben-B,BEN,yes,,yes,,inven+grata,title_filter_miss: 8 contacts (named target John Fidgeon/Founder & Owner)
Vankirk Electric,vankirkelectric.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-B,BEN,yes,,yes,yes,inven,named target Loren Vankirk (CEO) not returned; got GM
